,AccountNumber,AddressLine1Individual,AddressLine1Store,AddressLine2Individual,AddressLine2Store,AddressTypeIndividual,AddressTypeStore,BillToAddressID,CarrierTrackingNumber,CityIndividual,CityStore,Class,Color,CountryRegionCode,CountryRegionNameIndividual,CountryRegionNameStore,CreditCardApprovalCode,CreditCardID,CurrencyRateID,CustomerID,DueDate,FinishedGoodsFlag,FirstName,Freight,LastName,LineTotal,ListPrice,MakeFlag,MiddleName,OnlineOrderFlag,OrderDate,OrderQty,PersonID,PostalCodeIndividual,PostalCodeStore,Product,ProductCategory,ProductCategoryID,ProductID,ProductLine,ProductModelID,ProductNumber,ProductSubCategory,ProductSubcategoryID,PurchaseOrderNumber,Region,RevisionNumber,SalesOrderDetailID,SalesOrderID,SalesOrderNumber,SalesPersonID,ShipDate,ShipMethodID,ShipToAddressID,Size,SpecialOfferID,StandardCost,StateProvinceNameIndividual,StateProvinceNameStore,Status,Store,StoreID,Style,SubTotal,TaxAmt,Territory,TerritoryID,TotalDue,UnitPrice,UnitPriceDiscount
19,10-4030-018178,NA,NA,NA,NA,NA,NA,25522,NA,NA,NA,NA,NA,GB,NA,NA,928953Vi94119,18150,NA,18178,7/12/2014,TRUE,NA,0.737,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,16438,NA,NA,Touring Tire Tube,Accessories,4,923,T,94,TT-T092,Tires and Tubes,37,NA,Europe,8,121298,75117,SO75117,NA,7/7/2014,1,25522,NA,1,1.8663,NA,NA,5,NA,NA,NA,29.48,2.3584,United Kingdom,10,32.5754,4.99,0
20,10-4030-018178,NA,NA,NA,NA,NA,NA,25522,NA,NA,NA,NA,Black,GB,NA,NA,928953Vi94119,18150,NA,18178,7/12/2014,TRUE,NA,0.737,NA,24.49,24.49,FALSE,NA,Yes,6/30/2014,1,16438,NA,NA,"Half-Finger Gloves, L",Clothing,3,860,S,4,GL-H102-L,Gloves,20,NA,Europe,8,121299,75117,SO75117,NA,7/7/2014,1,25522,L,1,9.1593,NA,NA,5,NA,NA,U,29.48,2.3584,United Kingdom,10,32.5754,24.49,0
21,10-4030-016402,NA,NA,NA,NA,NA,NA,27392,NA,NA,NA,NA,NA,GB,NA,NA,728746Vi80423,15564,NA,16402,7/12/2014,TRUE,NA,0.1248,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,18304,NA,NA,Touring Tire Tube,Accessories,4,923,T,94,TT-T092,Tires and Tubes,37,NA,Europe,8,121297,75116,SO75116,NA,7/7/2014,1,27392,NA,1,1.8663,NA,NA,5,NA,NA,NA,4.99,0.3992,United Kingdom,10,5.514,4.99,0
22,10-4030-026832,866 San Tanderz Dr.,NA,NA,NA,Home,NA,13618,NA,Newport Beach,NA,NA,NA,DE,United States,NA,327761Vi22867,4360,NA,26832,7/12/2014,TRUE,Blake,2.0118,Russell,3.99,3.99,FALSE,NA,Yes,6/30/2014,1,4583,92625,NA,Road Tire Tube,Accessories,4,922,R,93,TT-R982,Tires and Tubes,37,NA,Europe,8,121295,75115,SO75115,NA,7/7/2014,1,13618,NA,1,1.4923,California,NA,5,NA,NA,NA,80.47,6.4376,Germany,8,88.9194,3.99,0
23,10-4030-026832,866 San Tanderz Dr.,NA,NA,NA,Home,NA,13618,NA,Newport Beach,NA,L,NA,DE,United States,NA,327761Vi22867,4360,NA,26832,7/12/2014,TRUE,Blake,2.0118,Russell,21.49,21.49,FALSE,NA,Yes,6/30/2014,1,4583,92625,NA,LL Road Tire,Accessories,4,931,R,88,TI-R092,Tires and Tubes,37,NA,Europe,8,121294,75115,SO75115,NA,7/7/2014,1,13618,NA,1,8.0373,California,NA,5,NA,NA,NA,80.47,6.4376,Germany,8,88.9194,21.49,0
24,10-4030-026832,866 San Tanderz Dr.,NA,NA,NA,Home,NA,13618,NA,Newport Beach,NA,NA,Silver,DE,United States,NA,327761Vi22867,4360,NA,26832,7/12/2014,TRUE,Blake,2.0118,Russell,54.99,54.99,FALSE,NA,Yes,6/30/2014,1,4583,92625,NA,Hydration Pack - 70 oz.,Accessories,4,880,S,107,HY-1023-70,Hydration Packs,32,NA,Europe,8,121296,75115,SO75115,NA,7/7/2014,1,13618,70,1,20.5663,California,NA,5,NA,NA,NA,80.47,6.4376,Germany,8,88.9194,54.99,0
25,10-4030-024704,NA,NA,NA,NA,NA,NA,24932,NA,NA,NA,L,NA,DE,NA,NA,227542Vi22680,4318,NA,24704,7/12/2014,TRUE,NA,0.5373,NA,21.49,21.49,FALSE,NA,Yes,6/30/2014,1,15856,NA,NA,LL Road Tire,Accessories,4,931,R,88,TI-R092,Tires and Tubes,37,NA,Europe,8,121293,75114,SO75114,NA,7/7/2014,1,24932,NA,1,8.0373,NA,NA,5,NA,NA,NA,21.49,1.7192,Germany,8,23.7465,21.49,0
26,10-4030-021524,1940 Detroit Ave.,NA,NA,NA,Home,NA,16851,NA,W. Linn,NA,NA,NA,GB,United States,NA,426941Vi93025,17933,NA,21524,7/12/2014,TRUE,Evan,2.874,Allen,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,7808,97068,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,Europe,8,121290,75113,SO75113,NA,7/7/2014,1,16851,NA,1,1.8663,Oregon,NA,5,NA,NA,NA,114.96,9.1968,United Kingdom,10,127.0308,4.99,0
27,10-4030-021524,1940 Detroit Ave.,NA,NA,NA,Home,NA,16851,NA,W. Linn,NA,NA,Blue,GB,United States,NA,426941Vi93025,17933,NA,21524,7/12/2014,TRUE,Evan,2.874,Allen,34.99,34.99,FALSE,NA,Yes,6/30/2014,1,7808,97068,NA,"Sport-100 Helmet, Blue",Accessories,4,711,S,33,HL-U509-B,Helmets,31,NA,Europe,8,121291,75113,SO75113,NA,7/7/2014,1,16851,NA,1,13.0863,Oregon,NA,5,NA,NA,NA,114.96,9.1968,United Kingdom,10,127.0308,34.99,0
28,10-4030-021524,1940 Detroit Ave.,NA,NA,NA,Home,NA,16851,NA,W. Linn,NA,L,NA,GB,United States,NA,426941Vi93025,17933,NA,21524,7/12/2014,TRUE,Evan,2.874,Allen,24.99,24.99,FALSE,NA,Yes,6/30/2014,1,7808,97068,NA,LL Mountain Tire,Accessories,4,928,M,85,TI-M267,Tires and Tubes,37,NA,Europe,8,121289,75113,SO75113,NA,7/7/2014,1,16851,NA,1,9.3463,Oregon,NA,5,NA,NA,NA,114.96,9.1968,United Kingdom,10,127.0308,24.99,0
29,10-4030-021524,1940 Detroit Ave.,NA,NA,NA,Home,NA,16851,NA,W. Linn,NA,NA,Multi,GB,United States,NA,426941Vi93025,17933,NA,21524,7/12/2014,TRUE,Evan,2.874,Allen,49.99,49.99,FALSE,NA,Yes,6/30/2014,1,7808,97068,NA,"Long-Sleeve Logo Jersey, M",Clothing,3,714,S,11,LJ-0192-M,Jerseys,21,NA,Europe,8,121292,75113,SO75113,NA,7/7/2014,1,16851,M,1,38.4923,Oregon,NA,5,NA,NA,U,114.96,9.1968,United Kingdom,10,127.0308,49.99,0
30,10-4030-021523,NA,NA,NA,NA,NA,NA,25913,NA,NA,NA,NA,White,DE,NA,NA,326936Vi2467,475,NA,21523,7/12/2014,TRUE,NA,0.9745,NA,8.99,8.99,FALSE,NA,Yes,6/30/2014,1,16827,NA,NA,"Racing Socks, M",Clothing,3,874,R,24,SO-R809-M,Socks,23,NA,Europe,8,121288,75112,SO75112,NA,7/7/2014,1,25913,M,1,3.3623,NA,NA,5,NA,NA,U,38.98,3.1184,Germany,8,43.0729,8.99,0
31,10-4030-021523,NA,NA,NA,NA,NA,NA,25913,NA,NA,NA,M,NA,DE,NA,NA,326936Vi2467,475,NA,21523,7/12/2014,TRUE,NA,0.9745,NA,29.99,29.99,FALSE,NA,Yes,6/30/2014,1,16827,NA,NA,ML Mountain Tire,Accessories,4,929,M,86,TI-M602,Tires and Tubes,37,NA,Europe,8,121287,75112,SO75112,NA,7/7/2014,1,25913,NA,1,11.2163,NA,NA,5,NA,NA,NA,38.98,3.1184,Germany,8,43.0729,29.99,0
32,10-4030-019072,NA,NA,NA,NA,NA,NA,20931,NA,NA,NA,NA,NA,GB,NA,NA,726388Vi23497,4487,NA,19072,7/12/2014,TRUE,NA,1.2243,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,11861,NA,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,Europe,8,121284,75111,SO75111,NA,7/7/2014,1,20931,NA,1,1.8663,NA,NA,5,NA,NA,NA,48.97,3.9176,United Kingdom,10,54.1119,4.99,0
33,10-4030-019072,NA,NA,NA,NA,NA,NA,20931,NA,NA,NA,NA,Black,GB,NA,NA,726388Vi23497,4487,NA,19072,7/12/2014,TRUE,NA,1.2243,NA,34.99,34.99,FALSE,NA,Yes,6/30/2014,1,11861,NA,NA,"Sport-100 Helmet, Black",Accessories,4,708,S,33,HL-U509,Helmets,31,NA,Europe,8,121285,75111,SO75111,NA,7/7/2014,1,20931,NA,1,13.0863,NA,NA,5,NA,NA,NA,48.97,3.9176,United Kingdom,10,54.1119,34.99,0
34,10-4030-019072,NA,NA,NA,NA,NA,NA,20931,NA,NA,NA,NA,Multi,GB,NA,NA,726388Vi23497,4487,NA,19072,7/12/2014,TRUE,NA,1.2243,NA,8.99,8.99,FALSE,NA,Yes,6/30/2014,1,11861,NA,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,Europe,8,121286,75111,SO75111,NA,7/7/2014,1,20931,NA,1,6.9223,NA,NA,5,NA,NA,U,48.97,3.9176,United Kingdom,10,54.1119,8.99,0
35,10-4030-013753,7332 Saddlewood,NA,NA,NA,Home,NA,18943,NA,Oxford,NA,NA,NA,US,United Kingdom,NA,1226128Vi70810,13665,NA,13753,7/12/2014,TRUE,Chelsea,2.123,Ray,21.98,21.98,FALSE,NA,Yes,6/30/2014,1,9888,OX14 4SE,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121281,75110,SO75110,NA,7/7/2014,1,18943,NA,1,8.2205,England,NA,5,NA,NA,NA,84.92,6.7936,Southwest,4,93.8366,21.98,0
36,10-4030-013753,7332 Saddlewood,NA,NA,NA,Home,NA,18943,NA,Oxford,NA,NA,NA,US,United Kingdom,NA,1226128Vi70810,13665,NA,13753,7/12/2014,TRUE,Chelsea,2.123,Ray,7.95,7.95,FALSE,NA,Yes,6/30/2014,1,9888,OX14 4SE,NA,Bike Wash - Dissolver,Accessories,4,877,S,119,CL-9009,Cleaners,29,NA,North America,8,121283,75110,SO75110,NA,7/7/2014,1,18943,NA,1,2.9733,England,NA,5,NA,NA,NA,84.92,6.7936,Southwest,4,93.8366,7.95,0
37,10-4030-013753,7332 Saddlewood,NA,NA,NA,Home,NA,18943,NA,Oxford,NA,NA,Silver,US,United Kingdom,NA,1226128Vi70810,13665,NA,13753,7/12/2014,TRUE,Chelsea,2.123,Ray,54.99,54.99,FALSE,NA,Yes,6/30/2014,1,9888,OX14 4SE,NA,Hydration Pack - 70 oz.,Accessories,4,880,S,107,HY-1023-70,Hydration Packs,32,NA,North America,8,121282,75110,SO75110,NA,7/7/2014,1,18943,70,1,20.5663,England,NA,5,NA,NA,NA,84.92,6.7936,Southwest,4,93.8366,54.99,0
38,10-4030-014114,8713 Live Oak Avenue,NA,NA,NA,Home,NA,20071,NA,Vancouver,NA,NA,NA,US,Canada,NA,1226035Vi11012,2113,NA,14114,7/12/2014,TRUE,Destiny,2.137,Coleman,21.98,21.98,FALSE,NA,Yes,6/30/2014,1,11006,V7L 4J4,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121279,75109,SO75109,NA,7/7/2014,1,20071,NA,1,8.2205,British Columbia,NA,5,NA,NA,NA,85.48,6.8384,Southwest,4,94.4554,21.98,0
39,10-4030-014114,8713 Live Oak Avenue,NA,NA,NA,Home,NA,20071,NA,Vancouver,NA,NA,Blue,US,Canada,NA,1226035Vi11012,2113,NA,14114,7/12/2014,TRUE,Destiny,2.137,Coleman,63.5,63.5,FALSE,NA,Yes,6/30/2014,1,11006,V7L 4J4,NA,"Classic Vest, S",Clothing,3,864,S,1,VE-C304-S,Vests,25,NA,North America,8,121280,75109,SO75109,NA,7/7/2014,1,20071,S,1,23.749,British Columbia,NA,5,NA,NA,U,85.48,6.8384,Southwest,4,94.4554,63.5,0
40,10-4030-021347,NA,NA,NA,NA,NA,NA,21109,NA,NA,NA,NA,NA,CA,NA,NA,925998Vi8401,1638,NA,21347,7/12/2014,TRUE,NA,0.1248,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,12039,NA,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121278,75108,SO75108,NA,7/7/2014,1,21109,NA,1,1.8663,NA,NA,5,NA,NA,NA,4.99,0.3992,Canada,6,5.514,4.99,0
41,10-4030-014029,1023 Hawkins Street,NA,NA,NA,Home,NA,18062,NA,Townsville,NA,NA,Black,US,Australia,NA,1125964Vi13049,2499,NA,14029,7/12/2014,TRUE,Abby,1.4243,Martinez,34.99,34.99,FALSE,NA,Yes,6/30/2014,1,9009,4810,NA,"Sport-100 Helmet, Black",Accessories,4,708,S,33,HL-U509,Helmets,31,NA,North America,8,121277,75107,SO75107,NA,7/7/2014,1,18062,NA,1,13.0863,Queensland,NA,5,NA,NA,NA,56.97,4.5576,Northwest,1,62.9519,34.99,0
42,10-4030-014029,1023 Hawkins Street,NA,NA,NA,Home,NA,18062,NA,Townsville,NA,NA,NA,US,Australia,NA,1125964Vi13049,2499,NA,14029,7/12/2014,TRUE,Abby,1.4243,Martinez,21.98,21.98,FALSE,NA,Yes,6/30/2014,1,9009,4810,NA,Fender Set - Mountain,Accessories,4,878,M,121,FE-6654,Fenders,30,NA,North America,8,121276,75107,SO75107,NA,7/7/2014,1,18062,NA,1,8.2205,Queensland,NA,5,NA,NA,NA,56.97,4.5576,Northwest,1,62.9519,21.98,0
43,10-4030-014474,5722 Hemlock Ave.,NA,NA,NA,Home,NA,17877,NA,Bremerton,NA,NA,NA,US,United States,NA,325871Vi4617,907,NA,14474,7/12/2014,TRUE,David,0.182,Miller,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,8824,98312,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121274,75106,SO75106,NA,7/7/2014,1,17877,NA,1,1.8663,Washington,NA,5,NA,NA,NA,7.28,0.5824,Southwest,4,8.0444,4.99,0
44,10-4030-014474,5722 Hemlock Ave.,NA,NA,NA,Home,NA,17877,NA,Bremerton,NA,NA,NA,US,United States,NA,325871Vi4617,907,NA,14474,7/12/2014,TRUE,David,0.182,Miller,2.29,2.29,FALSE,NA,Yes,6/30/2014,1,8824,98312,NA,Patch Kit/8 Patches,Accessories,4,873,S,114,PK-7098,Tires and Tubes,37,NA,North America,8,121275,75106,SO75106,NA,7/7/2014,1,17877,NA,1,0.8565,Washington,NA,5,NA,NA,NA,7.28,0.5824,Southwest,4,8.0444,2.29,0
45,10-4030-015160,NA,NA,NA,NA,NA,NA,24471,NA,NA,NA,NA,NA,US,NA,NA,1225670Vi75464,14552,NA,15160,7/12/2014,TRUE,NA,2.474,NA,4.99,4.99,FALSE,NA,Yes,6/30/2014,1,15399,NA,NA,Mountain Tire Tube,Accessories,4,921,M,92,TT-M928,Tires and Tubes,37,NA,North America,8,121270,75105,SO75105,NA,7/7/2014,1,24471,NA,1,1.8663,NA,NA,5,NA,NA,NA,98.96,7.9168,Southwest,4,109.3508,4.99,0
46,10-4030-015160,NA,NA,NA,NA,NA,NA,24471,NA,NA,NA,NA,Red,US,NA,NA,1225670Vi75464,14552,NA,15160,7/12/2014,TRUE,NA,2.474,NA,34.99,34.99,FALSE,NA,Yes,6/30/2014,1,15399,NA,NA,"Sport-100 Helmet, Red",Accessories,4,707,S,33,HL-U509-R,Helmets,31,NA,North America,8,121271,75105,SO75105,NA,7/7/2014,1,24471,NA,1,13.0863,NA,NA,5,NA,NA,NA,98.96,7.9168,Southwest,4,109.3508,34.99,0
47,10-4030-015160,NA,NA,NA,NA,NA,NA,24471,NA,NA,NA,NA,Multi,US,NA,NA,1225670Vi75464,14552,NA,15160,7/12/2014,TRUE,NA,2.474,NA,8.99,8.99,FALSE,NA,Yes,6/30/2014,1,15399,NA,NA,AWC Logo Cap,Clothing,3,712,S,2,CA-1098,Caps,19,NA,North America,8,121272,75105,SO75105,NA,7/7/2014,1,24471,NA,1,6.9223,NA,NA,5,NA,NA,U,98.96,7.9168,Southwest,4,109.3508,8.99,0
48,10-4030-015160,NA,NA,NA,NA,NA,NA,24471,NA,NA,NA,NA,Multi,US,NA,NA,1225670Vi75464,14552,NA,15160,7/12/2014,TRUE,NA,2.474,NA,49.99,49.99,FALSE,NA,Yes,6/30/2014,1,15399,NA,NA,"Long-Sleeve Logo Jersey, L",Clothing,3,715,S,11,LJ-0192-L,Jerseys,21,NA,North America,8,121273,75105,SO75105,NA,7/7/2014,1,24471,L,1,38.4923,NA,NA,5,NA,NA,U,98.96,7.9168,Southwest,4,109.3508,49.99,0
